sample,key,value
session_info_load_08,"process","f77f2c1d-1e5b-4855-a0b9-94390ccd4ce5"
session_info_load_08,"user-name","DefUser"
session_info_load_08,"host","alko-home"
session_info_load_08,"app-id","1CV8C"
session_info_load_08,"locale","ru"
session_info_load_08,"started-at","2026-02-15T00:10:57"
session_info_load_08,"last-active-at","2026-02-16T00:28:41"
session_info_load_08,"hibernate","no"
session_info_load_08,"passive-session-hibernate-time","1200"
session_info_load_08,"hibernate-session-terminate-time","86400"
session_info_load_08,"blocked-by-dbms","0"
session_info_load_08,"blocked-by-ls","6"
session_info_load_08,"bytes-all","27380042"
session_info_load_08,"bytes-last-5min","5830785"
session_info_load_08,"calls-all","22367"
session_info_load_08,"calls-last-5min","4700"
session_info_load_08,"dbms-bytes-all","38620496"
session_info_load_08,"dbms-bytes-last-5min","8290211"
session_info_load_08,"db-proc-info","""5719"""
session_info_load_08,"db-proc-took","18982"
session_info_load_08,"db-proc-took-at","2026-02-16T00:28:42"
session_info_load_08,"duration-all","512380"
session_info_load_08,"duration-all-dbms","22586"
session_info_load_08,"duration-current","20172"
session_info_load_08,"duration-current-dbms","0"
session_info_load_08,"duration-last-5min","87294"
session_info_load_08,"duration-last-5min-dbms","4923"
session_info_load_08,"memory-current","-47080"
session_info_load_08,"memory-last-5min","39698798"
session_info_load_08,"memory-total","592385371"
session_info_load_08,"read-current","16176"
session_info_load_08,"read-last-5min","1404449"
session_info_load_08,"read-total","28452943"
session_info_load_08,"write-current","0"
session_info_load_08,"write-last-5min","228901"
session_info_load_08,"write-total","15379200"
session_info_load_08,"duration-current-service","0"
session_info_load_08,"duration-last-5min-service","3828"
session_info_load_08,"duration-all-service","17828"
session_info_load_08,"current-service-name",""
session_info_load_08,"cpu-time-current","1051"
session_info_load_08,"cpu-time-last-5min","39720"
session_info_load_08,"cpu-time-total","209156"
session_info_load_08,"data-separation","''"
session_info_load_08,"client-ip","127.0.0.1"
session_info_load_09,"session","25510e27-f24a-4586-9ac9-9f7837c0dea1"
session_info_load_09,"session-id","3"
session_info_load_09,"infobase","717bdda7-2f60-4577-b262-f1fc8c0e472c"
session_info_load_09,"connection","e41e750e-56d7-40fb-b2e0-5e71b8e8f508"
session_info_load_09,"process","f77f2c1d-1e5b-4855-a0b9-94390ccd4ce5"
session_info_load_09,"user-name","DefUser"
session_info_load_09,"host","alko-home"
session_info_load_09,"app-id","1CV8C"
session_info_load_09,"locale","ru"
session_info_load_09,"started-at","2026-02-15T00:10:57"
session_info_load_09,"last-active-at","2026-02-16T00:28:41"
session_info_load_09,"hibernate","no"
session_info_load_09,"passive-session-hibernate-time","1200"
session_info_load_09,"hibernate-session-terminate-time","86400"
session_info_load_09,"blocked-by-dbms","0"
session_info_load_09,"blocked-by-ls","6"
session_info_load_09,"bytes-all","27380042"
session_info_load_09,"bytes-last-5min","5830785"
session_info_load_09,"calls-all","22367"
session_info_load_09,"calls-last-5min","4700"
session_info_load_09,"dbms-bytes-all","38691789"
session_info_load_09,"dbms-bytes-last-5min","8361504"
session_info_load_09,"db-proc-info","""5719"""
session_info_load_09,"db-proc-took","8280"
session_info_load_09,"db-proc-took-at","2026-02-16T00:29:04"
session_info_load_09,"duration-all","512380"
session_info_load_09,"duration-all-dbms","22625"
session_info_load_09,"duration-current","30764"
session_info_load_09,"duration-current-dbms","0"
session_info_load_09,"duration-last-5min","87294"
session_info_load_09,"duration-last-5min-dbms","4962"
session_info_load_09,"memory-current","-58800"
session_info_load_09,"memory-last-5min","39698798"
session_info_load_09,"memory-total","592385371"
session_info_load_09,"read-current","20220"
session_info_load_09,"read-last-5min","1404449"
